,Name,Text,Time
0,Lindsey Graham,"We must stand with Israel in every way.

Join me by visiting: https://t.co/JUEHC8rCDa https://t.co/IsLGzOMjC4",2023-11-06 14:22:01+00:00
1,Lindsey Graham,"I know Secretary Austin did not mean to incentivize Hamas and extend the war through his comments.  However, I fear that is exactly what he did at the Reagan Forum on Saturday when he said Palestinian civilian casualties in Gaza would end up being a strategic failure for Israel.

Hamas’ blueprint of using the Palestinian people as human shields makes it even more difficult for Israel to achieve its goal of destroying Hamas.  Let’s be clear, it is Hamas who is putting Palestinian lives at risk – not Israel.  We should urge Israel to be cautious, but the strategic failure I hate – and the world will regret – is to leave Hamas standing.
 
In essence, Secretary Austin has told Hamas what losing for Israel looks like and I am sure Hamas will seize the moment.

https://t.co/tOsll4kHoQ",2023-12-04 21:16:16+00:00
2,Lindsey Graham,"To my Democratic colleagues who want Texas to bear the burden of our broken border:

Forget it. They should be sending these migrants to YOU. https://t.co/WOVG5zjS91",2023-12-03 22:48:58+00:00
3,Lindsey Graham,"Vice President Harris is wrong.

Hamas still standing when this is over would be the ultimate strategic failure. https://t.co/2rrE5DguA3",2023-12-03 17:06:21+00:00
4,Lindsey Graham,"Sec. Austin is wrong to suggest that strategic defeat for Israel would be inflaming the Palestinians.

Strategic defeat is letting Hamas stand. https://t.co/5xilJSH9Ia",2023-12-03 15:31:54+00:00
5,Lindsey Graham,"The appeals court decision allowing civil lawsuits against President Trump for political speech is unnerving. I'm hopeful the Supreme Court will correct this ruling.

If the courts want to continue down the path of punishing political speech, perhaps @VP Kamala Harris could be sued because she was actively raising bail money for rioters in Minnesota?

It seems that raising bail money for those involved in rioting would encourage even more rioting and the individuals to commit other illegal acts.  

A very slippery slope here.

https://t.co/aTxkVYBDkW",2023-12-01 20:29:55+00:00
6,Lindsey Graham,Border Security IS National Security. https://t.co/Civypm6L7d,2023-12-01 14:11:21+00:00
7,Lindsey Graham,"Yesterday, ten Democratic senators came out against closing loopholes in our immigration, parole and asylum laws which are a magnet for illegal immigration.  

Those senators don’t know or feel what it is like to live with a broken border. https://t.co/xxN3ZLYhvz",2023-11-30 21:12:52+00:00
8,Lindsey Graham,"My hope is that Governor Abbott will show the people in places like Rhode Island, Oregon and Connecticut the experience of having your community overrun with people not here legally.",2023-11-30 21:12:54+00:00
9,Lindsey Graham,"Governor Abbott’s plan started changing views in New York City.  

It will change views in these states as well.",2023-11-30 21:12:54+00:00
10,Lindsey Graham,"The one thing we’re not doing when it comes to the conflict in Israel is going to the source of the problem:

The Iranians. https://t.co/Q10zvDrQUq",2023-11-30 20:08:44+00:00
11,Lindsey Graham,Speaking with @foxnews at 1:00 pm about the latest on Israel's war against Hamas terrorists and the Biden Administration's failing efforts to control our southern border.,2023-11-30 17:54:16+00:00
12,Lindsey Graham,"I’m calling upon @GregAbbott_TX to send bus loads of illegal migrants to the states of the ten Senators who wrote in opposition of measures to secure our border today.

It’s time to make them feel the challenges Texas and other border states face everyday. https://t.co/tTxJA2WJ7X",2023-11-30 02:45:10+00:00
13,Lindsey Graham,"It is with great sadness that I learned of the passing of my good friend Henry Kissinger. 

What an incredible life - born in Germany and emigrating to the U.S., serving in the U.S. military during WWII, playing a major role on the world stage for decades, and earning respect and admiration from a wide array of people and nations. 

Henry was in the arena of world politics for decades and served his nation well. He was a valuable advisor to numerous presidents of both parties and had an amazing intellect. 

He will be missed. May he Rest in Peace.",2023-11-30 02:27:28+00:00
14,Lindsey Graham,"ICYMI

Spoke on the Senate floor earlier today about the need to secure our southern border.  

WATCH:
https://t.co/Vw73kHbINd",2023-11-29 20:38:57+00:00
15,Lindsey Graham,"➡️  Now speaking on the Senate floor about our broken southern border.

WATCH LIVE: https://t.co/7FlRslYxxp",2023-11-29 19:10:23+00:00
16,Lindsey Graham,"Will be speaking on the Senate floor TODAY on the Biden border crisis.  

⏲️: 1:55 p.m.
📺:  https://t.co/7FlRslYxxp",2023-11-29 18:04:44+00:00
