,Name,Text,Time
0,Marjorie Taylor Greene 🇺🇸,"MAJOR ANNOUNCEMENT: My first book, ‘MTG’, will be released on November 21st!",2023-09-19 19:58:55+00:00
1,Paul Bedard,"Exclusive: NEW BOOK from Marjorie Taylor Greene to set the record straight, pave her way to higher office, possibly VP

“I wanted people to hear my side of the story,” @RepMTG 

Publisher @SergioGor 'Few have taken Washington by storm like MTG'
https://t.co/3lRjW8AHa6 https://t.co/uURfXydJuV",2023-09-19 19:27:47+00:00
2,Marjorie Taylor Greene 🇺🇸,"For Moms and Dads:

Pediatricians have always treated parents like your bad if you refuse vaccines for your kids so don’t be offended and it’s not new.

I refused multiple vaccines for my kids when they were growing up and told the Ped every time “no.”

And when it comes to the COVID vaccine for kids, I would be a “HELL NO!” every single time they recommend it.

Kids aren’t at risk from COVID but they face risks from COVID vaccines.",2023-12-04 23:27:44+00:00
3,The Rundown AI,"If you’re not using ChatGPT, you’re falling behind.

Subscribe to our newsletter to instantly get our FREE Advanced ChatGPT guide:",2023-10-13 03:27:00+00:00
4,Marjorie Taylor Greene 🇺🇸,"Republicans campaign every election cycle on stopping the Democrats and their America Last policies like the Green New Deal and open borders.

But Republicans end up doing nothing except bending knee to the Democrats.

We need real America First leaders in Congress. https://t.co/tOz1pb01pH",2023-12-04 16:20:19+00:00
5,Marjorie Taylor Greene 🇺🇸,"Here we go again!

They know he’s going to win and they are freaking out so much that they are rolling out the same old stupid lies. 

PATHETIC.

It won’t work this time.

People are absolutely DONE. https://t.co/rvO1FHv5QU",2023-12-04 15:10:13+00:00
6,Marjorie Taylor Greene 🇺🇸,😂😂😂 https://t.co/i087UxRZsn,2023-12-04 15:12:08+00:00
7,Marjorie Taylor Greene 🇺🇸,"RT @libsoftiktok: $500 fine for burning down a Wendy’s for BLM, and 17 years in prison for knocking over a fence on Jan 6.

2-tier justice system. https://t.co/52YwyBvhqF",2023-12-04 03:52:02+00:00
8,Libs of TikTok,"$500 fine for burning down a Wendy’s for BLM, and 17 years in prison for knocking over a fence on Jan 6.

2-tier justice system. https://t.co/52YwyBvhqF",2023-12-04 00:48:38+00:00
9,Marjorie Taylor Greene 🇺🇸,"WOW! Over 1,000 patriots showed up tonight for my book signing at CLUB 47 in Palm Beach! Have you gotten your copy? https://t.co/nkH9v67hpo https://t.co/rewkxIMKq2",2023-12-04 00:05:14+00:00
10,Marjorie Taylor Greene 🇺🇸,"RT @brianglenntv: SOLD OUT 🚨
.@RepMTG @Club47USA 
#booktour #MTG #Club47 https://t.co/EVZpT14Te8",2023-12-03 23:56:19+00:00
11,Brian Glenn,"SOLD OUT 🚨
.@RepMTG @Club47USA 
#booktour #MTG #Club47 https://t.co/EVZpT14Te8",2023-12-03 23:38:20+00:00
12,Marjorie Taylor Greene 🇺🇸,"I loved being in The Villages, Florida! Amazing crowd for my book tour! Sold out! https://t.co/nkH9v67hpo https://t.co/lbe4bKbsXu",2023-12-03 18:48:14+00:00
13,Marjorie Taylor Greene 🇺🇸,"This is exactly why all those involved in the lies, deceit and lives ruined must be investigated and held to the same standard they set for J6 defendants. 

Subpoenas for Nancy Pelosi, Adam Schiff, Liz Cheney, DOJ, FBI and all others involved.",2023-12-03 16:19:16+00:00
14,DC_Draino,"Remember, the purpose of the J6 Cmte wasn’t to uncover an “insurrection”

It was to push the *narrative* that J6 was an insurrection

It was used to punish those who had the audacity to protest a rigged election

They drained MAGA supporters of tens of millions in legal fees and harassed them in the media

That’s why the Cmte never interviewed the Chief of the Capitol Police - to hide the evidence of Fed involvement

That’s why they edited the videos played in hearings - to boost dramatic effect

That’s why they deleted the deposition videos - to cover their tracks

This is also why Adam Kinzinger and Liz Cheney are no longer in Congress - we fired them for being complicit in this tyranny",2023-12-03 16:08:21+00:00
15,Marjorie Taylor Greene 🇺🇸,"RT @RepMTG: The Democrats and the DOJ/FBI are orchestrating a colossal cover-up of J6, and those responsible should face the same consequences they're mercilessly imposing on J6 defendants.

The Republican-led House needs to launch a full-blown investigation into the original J6 committee! The American people demand answers and accountability for the mountain of lies, deceit, and ruined lives.

We should issue subpoenas for every single member of the Jan 6th committee, Nancy Pelosi, Liz Cheney, Adam Schiff, FBI, DOJ, DC Police, Capitol Police, and all the J6 witnesses who lied. We need criminal referrals, and prosecutions must absolutely happen under a Trump DOJ.

It's time to expose the truth!!",2023-12-03 15:40:54+00:00
16,Rep. Marjorie Taylor Greene🇺🇸,"The Democrats and the DOJ/FBI are orchestrating a colossal cover-up of J6, and those responsible should face the same consequences they're mercilessly imposing on J6 defendants.

The Republican-led House needs to launch a full-blown investigation into the original J6 committee! The American people demand answers and accountability for the mountain of lies, deceit, and ruined lives.

We should issue subpoenas for every single member of the Jan 6th committee, Nancy Pelosi, Liz Cheney, Adam Schiff, FBI, DOJ, DC Police, Capitol Police, and all the J6 witnesses who lied. We need criminal referrals, and prosecutions must absolutely happen under a Trump DOJ.

It's time to expose the truth!!",2023-12-03 15:24:17+00:00
17,Marjorie Taylor Greene 🇺🇸,"The Republican-controlled House must investigate the original J6 committee. 

There needs to be investigations and ACCOUNTABILITY for ALL of the lies, deceit, and lives ruined.

Every member of the Jan 6th committee, Nancy Pelosi, Liz Cheney, Adam Schiff, FBI, DOJ, DC Police, Cap Police, Jan 6 witnesses who lied, all need to be subpoenaed.

Criminal referrals must be written and prosecutions MUST happen under a Trump DOJ.

There is a massive coverup by the Democrats and DOJ/FBI regarding J6 and the perpetrators should face the same consequences they’re putting J6 defendants through.",2023-12-03 14:11:51+00:00
18,Marjorie Taylor Greene 🇺🇸,The sweetest video you’ll see all day.,2023-12-02 21:55:36+00:00
19,Juanita Broaddrick,"Dad’s are the most fun!  😂😂

 https://t.co/GsmsywUDj2",2023-12-02 17:44:38+00:00
20,Marjorie Taylor Greene 🇺🇸,"Joe Biden’s X is now a parody account. 

Inflation was at 1.4% before he took (stole) office. Prices have risen nearly 20% under “Bidenomics”! 

6.5 MILLION+ Americans remain unemployed. 

US has LOST nearly 40,000 manufacturing jobs. 

American families pay $11,500 more per year. 

Groceries have skyrocketed. 

Energy/gas costs are crippling families. 

I can’t wait for the adults to be back in charge. We need mean tweets and $2/ gallon gas! 

TRUMP 2024!",2023-12-02 17:32:28+00:00
21,President Biden,"Inflation was 0% last month – and our economy grew by more than 5% last quarter.

Bidenomics.",2023-12-02 13:57:45+00:00
22,Marjorie Taylor Greene 🇺🇸,"Great to be in Naples! Joann is a star! 🇺🇸

https://t.co/jaCX9XFnTl https://t.co/rKtRkjZSw2",2023-12-02 16:15:04+00:00
23,Marjorie Taylor Greene 🇺🇸,"RT @SecretsBedard: Buzz: @mtgreenee  sells 'Impeach Biden' for Christmas, Gov. Jim Justice rips Club for Growth 
https://t.co/kKm4DmH6V3 https://t.co/mtC1DwoCM2",2023-12-01 22:42:16+00:00
24,Paul Bedard,"Buzz: @mtgreenee  sells 'Impeach Biden' for Christmas, Gov. Jim Justice rips Club for Growth 
https://t.co/kKm4DmH6V3 https://t.co/mtC1DwoCM2",2023-12-01 20:13:46+00:00
25,Marjorie Taylor Greene 🇺🇸,"RT @DanielTurnerPTF: I know many “conservatives” in DC who do “conservative” stuff for a living and they despise MTG because they are lead by the nose by the media and are ultimately desperate to be popular in Georgetown & petrified of being alone in their beliefs. Kudos to @TuckerCarlson for giving her this platform and @mtgreenee is an absolute rockstar we need more of in DC. Also, incredibly nice in person.

One of the most shocking things about DC (and why I now live on a farm far away) is that the people you think are on your side are actually a bigger threat than your political enemies. Call them establishment or swamp… the people who ostensibly share your beliefs and values often hate you and will work tirelessly against you if there’s a profit motive or the chance to get a blurb in Playbook.

Very, very few people are willing to die on the hill of their beliefs. 95% are in it for the money and the fame, and energy, climate, guns, abortion, criminal justice reform (😂😂😂), foreign policy, Iraq, democracy… are merely vehicles for personal profit.",2023-12-01 16:41:04+00:00
26,Daniel Turner,"I know many “conservatives” in DC who do “conservative” stuff for a living and they despise MTG because they are lead by the nose by the media and are ultimately desperate to be popular in Georgetown & petrified of being alone in their beliefs. Kudos to @TuckerCarlson for giving her this platform and @mtgreenee is an absolute rockstar we need more of in DC. Also, incredibly nice in person.

One of the most shocking things about DC (and why I now live on a farm far away) is that the people you think are on your side are actually a bigger threat than your political enemies. Call them establishment or swamp… the people who ostensibly share your beliefs and values often hate you and will work tirelessly against you if there’s a profit motive or the chance to get a blurb in Playbook.

Very, very few people are willing to die on the hill of their beliefs. 95% are in it for the money and the fame, and energy, climate, guns, abortion, criminal justice reform (😂😂😂), foreign policy, Iraq, democracy… are merely vehicles for personal profit.",2023-12-01 16:07:12+00:00
27,Tucker Carlson,"Ep. 43  You think elected Republicans in Washington are craven frauds who’d sell your children for a steak dinner at the French Laundry? Actually, says Marjorie Taylor Greene, it’s worse than that. https://t.co/F9Q0Xvo9m2",2023-11-30 22:59:00+00:00
28,Marjorie Taylor Greene 🇺🇸,"As my Georgia Legislature works diligently to address the ridiculous Court ruling for redistricting, I’m reminded how fortunate I am to have THE BEST Congressional District in Georgia! I love Northwest Georgia and my America First constituents!",2023-12-01 16:22:58+00:00
29,Marjorie Taylor Greene 🇺🇸,"RT @TuckerCarlson: Ep. 43  You think elected Republicans in Washington are craven frauds who’d sell your children for a steak dinner at the French Laundry? Actually, says Marjorie Taylor Greene, it’s worse than that. https://t.co/F9Q0Xvo9m2",2023-12-01 00:11:55+00:00
30,Marjorie Taylor Greene 🇺🇸,"I told you so!

Like I said earlier this week, GA is voting for Trump!",2023-11-30 22:35:57+00:00
31,Trump War Room,GEORGIA IS TRUMP COUNTRY! https://t.co/tlt1n5Jgxu,2023-11-30 22:24:49+00:00
32,Marjorie Taylor Greene 🇺🇸,This is great!,2023-11-30 19:40:50+00:00
33,Attorney General Ken Paxton,BREAKING:🚨 I am suing Pfizer for misrepresenting Covid-19 vaccine efficacy and conspiring to censor public discourse. https://t.co/63mZ1y6FNC,2023-11-30 19:04:55+00:00
34,Marjorie Taylor Greene 🇺🇸,"MAJOR ANNOUNCEMENT: My first book, ‘MTG’, will be released on November 21st!",2023-09-19 19:58:55+00:00
35,Paul Bedard,"Exclusive: NEW BOOK from Marjorie Taylor Greene to set the record straight, pave her way to higher office, possibly VP

“I wanted people to hear my side of the story,” @RepMTG 

Publisher @SergioGor 'Few have taken Washington by storm like MTG'
https://t.co/3lRjW8AHa6 https://t.co/uURfXydJuV",2023-09-19 19:27:47+00:00
36,Marjorie Taylor Greene 🇺🇸,"Not only is TikTok brainwashing our kids with CCP propaganda but any conservative who wishes to share content gets immediately banned.

https://t.co/3sY71ec1l9",2023-11-30 16:05:50+00:00
37,Marjorie Taylor Greene 🇺🇸,"RT @RepMTG: 🚨BREAKING: I just reintroduced articles of impeachment against DHS Secretary Mayorkas!

While some members, like Tom McClintock, want to bloviate endlessly while imagining themselves wearing a powdered wig, the American people want action. 

These members whine about “due process” while protecting Mayorkas from facing accountability for his violation of our border security laws. 

Impeachment IS due process. It would put Mayorkas in front of the Senate to face trial.

We’ve seen the evidence of him breaking the law. It’s time for the Senate to try him for it.

Today, I reintroduced my articles of impeachment against Secretary Mayorkas because impeachment is EXACTLY what the founders intended for the House to do when a member of the executive branch intentionally violates the laws written by the legislative branch.",2023-11-30 01:47:49+00:00
38,Rep. Marjorie Taylor Greene🇺🇸,"🚨BREAKING: I just reintroduced articles of impeachment against DHS Secretary Mayorkas!

While some members, like Tom McClintock, want to bloviate endlessly while imagining themselves wearing a powdered wig, the American people want action. 

These members whine about “due process” while protecting Mayorkas from facing accountability for his violation of our border security laws. 

Impeachment IS due process. It would put Mayorkas in front of the Senate to face trial.

We’ve seen the evidence of him breaking the law. It’s time for the Senate to try him for it.

Today, I reintroduced my articles of impeachment against Secretary Mayorkas because impeachment is EXACTLY what the founders intended for the House to do when a member of the executive branch intentionally violates the laws written by the legislative branch.",2023-11-29 17:59:13+00:00
39,Marjorie Taylor Greene 🇺🇸,This is why Mayorkas must be impeached.,2023-11-30 01:30:11+00:00
40,Matt Gaetz,"The consequences of unchecked immigration, as seen in New York. 

 https://t.co/JepEkDWLvX",2023-11-30 01:19:40+00:00
41,Marjorie Taylor Greene 🇺🇸,"Amazing! My event at Club 47 in Palm Beach is already sold out! A few spots remain in Naples, Florida on Saturday and The Villages on Sunday! Hope to see you all there 🇺🇸

https://t.co/mGFzgXwJAi

https://t.co/O8YQ16uQCn https://t.co/8z2JmJEPmT",2023-11-29 21:38:16+00:00
42,Marjorie Taylor Greene 🇺🇸,RT @bennyjohnson: 🚨BREAKING: @RepMTG files articles of impeachment against Secretary Mayorkas https://t.co/NQGtnurs8z,2023-11-29 18:40:35+00:00
43,Benny Johnson,🚨BREAKING: @RepMTG files articles of impeachment against Secretary Mayorkas https://t.co/NQGtnurs8z,2023-11-29 17:47:17+00:00
44,Marjorie Taylor Greene 🇺🇸,Seth Rich. https://t.co/W1WPpwwIfs,2023-11-29 12:33:54+00:00
45,Marjorie Taylor Greene 🇺🇸,"Hmm..  could this be true?

If Mark Cuban decides to run and the Democrats replace him, it doesn’t matter.

The entire Democrat party is the same as the Biden admin. 

ANYONE they support is exactly the same as the America LAST Democrat party.

They are all Joe Biden.",2023-11-29 02:26:34+00:00
46,Brian Glenn,"Just early speculation: 
Mark Cuban prepping for a possible President run. (At some point) 

Suddenly sells majority stake in the Dallas Mavericks. 

Announces he’s leaving Shark Tank after 16 seasons. 

Looks like someone is clearing his calendar and making time for ‘something else’. 
#MARK",2023-11-29 01:18:31+00:00
47,Marjorie Taylor Greene 🇺🇸,"RT @marklevinshow: Majorie Taylor Greene’s great new book is out now – MTG! 

https://t.co/eKMdPhLc4b",2023-11-29 01:48:07+00:00
48,Mark R. Levin,"Majorie Taylor Greene’s great new book is out now – MTG! 

https://t.co/eKMdPhLc4b",2023-11-29 01:19:25+00:00
49,Marjorie Taylor Greene 🇺🇸,GOING FAST: Impeach Biden Wrapping Paper...Order yours here! Once they’re gone – they’re gone for good! https://t.co/fvLOKSVHJJ https://t.co/AI3I5vBhiX,2023-11-29 00:40:49+00:00
50,Marjorie Taylor Greene 🇺🇸,All the best parties are in Palm Beach. https://t.co/P9skfEfUDx,2023-11-28 00:43:00+00:00
51,Marjorie Taylor Greene 🇺🇸,"Join me in THE VILLAGES this Sunday! I’ll be signing copies of my new book MTG and answering your questions. So excited to see y’all there!

https://t.co/O8YQ16vorV",2023-11-27 22:18:18+00:00
52,Marjorie Taylor Greene 🇺🇸,Free Derek Chauvin!,2023-11-27 22:10:52+00:00
53,Jack Poso 🇺🇸,"BREAKING: THE DEREK CHAUVIN CASE IS A POLITICAL TIMEBOMB FOR THE REGIME

NOW WE HAVE REPORTS THE FBI ALTERED THE GEORGE FLOYD AUTOPSY 

CHAUVIN IS A LOOSE END

https://t.co/JJwl9j5wdR",2023-11-27 19:17:02+00:00
54,Marjorie Taylor Greene 🇺🇸,"Just interviewed with @TuckerCarlson about my new book MTG.

This is a spicy interview that might hurt a few feelings. 🔥🔥🔥

Order your copy today at https://t.co/FETs28CuYj https://t.co/0KSE3aS4PD",2023-11-27 21:04:36+00:00
55,Marjorie Taylor Greene 🇺🇸,"Looking forward to being in Naples, Florida on December 2nd! I hope to see you at the Patriots For Florida Luncheon. Get your tickets today: https://t.co/L9T4wgGCfv",2023-11-27 17:15:23+00:00
56,Marjorie Taylor Greene 🇺🇸,"From 2015 to 2024 and beyond, let’s go!

Make America Great Again! https://t.co/DwtXNzrwry",2023-11-27 01:50:14+00:00
57,Marjorie Taylor Greene 🇺🇸,"This debate is being held in Alpharetta, GA where I lived for over 20 years.

I can tell you right now GA is supporting Trump.

No one cares about this debate except the Rep establishment, who is completely disconnected with Rep voters.

Already a fail.

https://t.co/rByiqugKsR",2023-11-26 23:29:38+00:00
58,Marjorie Taylor Greene 🇺🇸,"Trump is WINNING and the people love him! 

Joe Biden couldn’t stay up late enough to go to a football game let alone have this massive cheering crowd for him.

If Joe had gone to the game, it would have been FJB! https://t.co/5AXzh0PQwq",2023-11-26 21:45:27+00:00
59,Marjorie Taylor Greene 🇺🇸,"I have done over 50 interviews this past week for my new book MTG and every single one of them asked me about J6.

I wrote a chapter about that day and visiting them in the DC jail in Nov 2021.

I need more Republicans in Congress to care and help stop the political persecutions.",2023-11-26 14:43:44+00:00
60,Rep. Marjorie Taylor Greene🇺🇸,"Everyone knows the truth about Jan 6th.

Most walked in the damn capitol through open doors and harmed nothing.

Antifa, BLM, rioters, looters, and so many have never faced any punishments and are free, yet J6’ers are bludgeoned by politically driven bureaucrats. 

This must end. https://t.co/xDqoprPbzp",2023-11-26 14:15:24+00:00
61,Marjorie Taylor Greene 🇺🇸,"RT @brianglenntv: The only thing that’s more beautiful than the 14th district of Georgia, is this one. 
@mtgreenee 🇺🇸 https://t.co/YXOHbe3gcW",2023-11-25 22:49:09+00:00
62,Brian Glenn,"The only thing that’s more beautiful than the 14th district of Georgia, is this one. 
@mtgreenee 🇺🇸 https://t.co/YXOHbe3gcW",2023-11-25 22:00:15+00:00
63,Marjorie Taylor Greene 🇺🇸,"RT @NEWSMAX: Marjorie Taylor Greene on Jan. 6th tapes: ""We need a real January 6th Select Committee that is going to subpoena the former January 6th Committee members."" 

@RepMTG @edhenry https://t.co/5Uywa2KU8A",2023-11-24 16:17:25+00:00
64,NEWSMAX,"Marjorie Taylor Greene on Jan. 6th tapes: ""We need a real January 6th Select Committee that is going to subpoena the former January 6th Committee members."" 

@RepMTG @edhenry https://t.co/5Uywa2KU8A",2023-11-24 00:45:00+00:00
65,Marjorie Taylor Greene 🇺🇸,"MAJOR ANNOUNCEMENT: My first book, ‘MTG’, will be released on November 21st!",2023-09-19 19:58:55+00:00
66,Paul Bedard,"Exclusive: NEW BOOK from Marjorie Taylor Greene to set the record straight, pave her way to higher office, possibly VP

“I wanted people to hear my side of the story,” @RepMTG 

Publisher @SergioGor 'Few have taken Washington by storm like MTG'
https://t.co/3lRjW8AHa6 https://t.co/uURfXydJuV",2023-09-19 19:27:47+00:00
67,Marjorie Taylor Greene 🇺🇸,"Hey @jimmykimmel since most of your show content is your nonstop lies about me, why don’t you have me on your show? 

I’ll bring you a copy of my book and we can chat about what needs to happen to SAVE AMERICA! 

https://t.co/nkH9v67hpo https://t.co/b3v9ec0uhv",2023-11-22 18:09:52+00:00
