,Name,Text,Time
0,Rand Paul,"This week, I'm going to force a vote on troop withdrawal from Syria. If we are going to deploy our young men and women in uniform to Syria to fight and potentially give their lives, shouldn’t we at least debate the merits of sending them there? https://t.co/gUQd2vwfcs",2023-12-04 20:19:21+00:00
1,Rand Paul,“…many politicians now clearly believe the bulk of Americans can’t be trusted to digest information.” - @mtaibbi https://t.co/JQowalu247,2023-12-04 17:12:24+00:00
2,Rand Paul,"RT @jackhunter74: Rand Paul asked recently 'How and why did the Left abandon its once stellar defense of FREE SPEECH?'

And the Left has. They have fully embraced censorship and now neglect the First Amendment.

So have some on the Right - for the same reasons.
https://t.co/m1Sg8EKfpA",2023-12-04 14:50:27+00:00
3,Jack Hunter,"Rand Paul asked recently 'How and why did the Left abandon its once stellar defense of FREE SPEECH?'

And the Left has. They have fully embraced censorship and now neglect the First Amendment.

So have some on the Right - for the same reasons.
https://t.co/m1Sg8EKfpA",2023-12-02 21:12:39+00:00
4,Rand Paul,"Great article by Jon Miltimore on anti-war songs but he left out two great contributions to the genre:  Dispatch’s — The General and Barry McGuire’s —Eve of Destruction.

https://t.co/0myxdvfKOe",2023-12-04 00:31:26+00:00
5,Rand Paul,"RT @JohnStossel: .@RandPaul opposed vaccine mandates: “Weren’t there people that used to say, your body, your choice? Except for vaccines, I guess.”

But he also opposed Desantis’ forbidding businesses from requiring them.

“It should be a personal decision,” he says.

Here is our full interview: https://t.co/eSiDX9B5Vs",2023-12-03 23:31:35+00:00
6,John Stossel,".@RandPaul opposed vaccine mandates: “Weren’t there people that used to say, your body, your choice? Except for vaccines, I guess.”

But he also opposed Desantis’ forbidding businesses from requiring them.

“It should be a personal decision,” he says.

Here is our full interview: https://t.co/eSiDX9B5Vs",2023-12-03 23:31:00+00:00
7,Rand Paul,"“By pursuing energy dominance, the U.S. can overcome the energy cost crisis, helping Americans and small businesses have happy holiday seasons and make ends meet in the years to come. We can do this while helping the environment at the same time.” https://t.co/1KA1p7tiTl",2023-12-03 14:11:20+00:00
8,Rand Paul,"RT @RStatecraft: .@randpaul is expected to force a vote on getting US troops out of #Syria. MORE @KelleyBVlahos: 
https://t.co/My7yX8pA7f",2023-12-02 18:19:58+00:00
9,Responsible Statecraft,".@randpaul is expected to force a vote on getting US troops out of #Syria. MORE @KelleyBVlahos: 
https://t.co/My7yX8pA7f",2023-12-02 17:30:00+00:00
